model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_raw,0.0001,,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,100,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-07,,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,0.33,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,50,0.4528301886792453,1.0,0.0
cnn_model_succeeded_raw,1e-07,0.33,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,50,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-06,,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,10,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,20,0.4528301886792453,1.0,0.0
